"Transaction ID","Posting Date","Effective Date","Transaction Type","Amount","Check Number","Reference Number","Description","Transaction Category","Type","Balance","Memo","Extended Description"
"20231211 1957816 9,184 202,312,113,726","12/11/2023","12/11/2023","Debit","-91.84000","","1712377343","WinCo Foods","Groceries","Point Of Sale Transactions","2053.18000","","Point Of Sale Withdrawal 76823016703 WINCO FOODS #167 WINCO1MERIDIAN     IDUS"
"20231209 1957816 1,915 202,312,093,725","12/9/2023","12/9/2023","Debit","-19.15000","","1712377344","Mpix","Printing","Point Of Sale Transactions","2145.02000","","Point Of Sale Withdrawal  MPIX                   620-231-8050 KSUS"
"20231209 1957816 3,049 202,312,093,724","12/9/2023","12/9/2023","Debit","-30.49000","","1712377345","Target","Shopping","Point Of Sale Transactions","2164.17000","","Point Of Sale Withdrawal TARGET T-123 6280 N Eagle Rd        Boise        IDUS"
"20231209 1957816 1,800 202,312,093,723","12/9/2023","12/9/2023","Debit","-18.00000","","1712377346","TJ Maxx","Clothing","Point Of Sale Transactions","2194.66000","","Point Of Sale Withdrawal TJMAXX #0415 1405 N MILWAUKEE ST    BOISE        IDUS"
"20231207 1957816 5,435 202,312,073,722","12/7/2023","12/7/2023","Debit","-54.35000","","1709558152","Payment to Progressive Corporation","Insurance","Automated Withdrawal Transactions","2212.66000","","ACH Withdrawal PROG DIRECT INS BRANCH09DEBIT  ACH - INS PREM"
"20231205 1957816 1,333 202,312,053,721","12/5/2023","12/5/2023","Debit","-13.33000","","1708655616","Arctic Circle Restaurants","Restaurants & Dining","Point Of Sale Transactions","2267.01000","","Point Of Sale Withdrawal 436845559797237 ARCTIC CIRCLE MERIDIAN 208-9955927  IDUS"
"20231205 1957816 4,182 202,312,053,720","12/5/2023","12/5/2023","Debit","-41.82000","","1708655617","Chevron","Gasoline/Fuel","Point Of Sale Transactions","2280.34000","","Point Of Sale Withdrawal 596366301524073 CHEVRON 0359129        MERIDIAN     IDUS"
"20231204 1957816 1,200 202,312,043,719","12/4/2023","12/4/2023","Debit","-12.00000","","1708655624","Transfer to Venmo","Transfers","Automated Withdrawal Transactions","2322.16000","","ACH Withdrawal VENMO  - PAYMENT"
"20231204 1957816 5,793 202,312,043,718","12/4/2023","12/4/2023","Debit","-57.93000","","1708655618","Walmart","Shopping","Point Of Sale Transactions","2334.16000","","Point Of Sale Withdrawal WAL-MART #5841 5001 N TEN MILE RD     MERIDIAN     IDUS"
"20231204 1957816 2,070 202,312,043,717","12/4/2023","12/4/2023","Debit","-20.70000","","1708655619","Point Of Sale Withdrawal XX5336 SQ *A SWEET EXPERIENCE,Meridian IDUS","Restaurants & Dining","Point Of Sale Transactions","2392.09000","","Point Of Sale Withdrawal 45141500005336 SQ *A SWEET EXPERIENCE,Meridian     IDUS"
"20231201 1957816 2,500 202,312,013,716","12/1/2023","12/1/2023","Debit","-25.00000","","1708655620","Withdrawal #64223982# Transfer To *****5988 Other Fund","Transfers","Withdrawal Transactions","2412.79000","","Withdrawal #64223982# Transfer To *****5988 Other Fund"
"20231201 1957816 3,000 202,312,013,715","12/1/2023","12/1/2023","Debit","-30.00000","","1708655621","Withdrawal #64223920# Transfer To *****2797 Personal","Transfers","Withdrawal Transactions","2437.79000","","Withdrawal #64223920# Transfer To *****2797 Personal"
"20231201 1957816 3,000 202,312,013,714","12/1/2023","12/1/2023","Debit","-30.00000","","1708655622","Withdrawal #64221761# Transfer To *****7515","Transfers","Withdrawal Transactions","2467.79000","","Withdrawal #64221761# Transfer To *****7515"
"20231201 1957816 3,000 202,312,013,713","12/1/2023","12/1/2023","Debit","-30.00000","","1708655623","Withdrawal #64221050# Transfer To *****4971","Transfers","Withdrawal Transactions","2497.79000","","Withdrawal #64221050# Transfer To *****4971"
