Transaction ID,Posting Date,Effective Date,Transaction Type,Amount,Check Number,Reference Number,Description,Transaction Category,Type,Balance,Memo,Extended Description
"20230112 1957816 30,000 202,301,123,368",1/12/2023,1/12/2023,Credit,300,,1455150193,Deposit #54885610# Transfer From *****5953,Deposits,Deposit Transactions,891.69,,Deposit #54885610# Transfer From *****5953
"20230111 1957816 2,052 202,301,113,367",1/11/2023,1/11/2023,Debit,-20.52,,1454978762,Sonic Drive-In,Restaurants & Dining,Point Of Sale Transactions,591.69,Lunch with Sara,Point Of Sale Withdrawal 6860815706OKF1 SONIC DRIVE IN #5706   CALDWELL     IDUS
"20230110 1957816 5,763 202,301,103,366",1/10/2023,1/10/2023,Debit,-57.63,,1454978765,WinCo Foods,Groceries,Point Of Sale Transactions,612.21,,Point Of Sale Withdrawal 7682301670014 WINCO FOODS #167 1407 WMeridian     IDUS
"20230110 1957816 2,024 202,301,103,365",1/10/2023,1/10/2023,Debit,-20.24,,1454148138,Cafe Zupas,Restaurants & Dining,Point Of Sale Transactions,669.84,Soup for Sick Aaron :(,Point Of Sale Withdrawal 984023612885 CAFE ZUPAS - MERIDIAN  MERIDIAN     IDUS
"20230110 1957816 4,800 202,301,103,364",1/10/2023,1/10/2023,Debit,-48,,1454148139,Point Of Sale Withdrawal XX5336 SQ *AMANDA RINE Caldwell IDUS,Restaurants & Dining,Point Of Sale Transactions,690.08,Pixie Haircut and Paste,Point Of Sale Withdrawal 24266100005336 SQ *AMANDA RINE        Caldwell     IDUS
"20230109 1957816 7,045 202,301,093,363",1/9/2023,1/9/2023,Debit,-70.45,,1450983011,Payment to Progressive Corporation,Insurance,Automated Withdrawal Transactions,738.08,,ACH Withdrawal PROG DIRECT INS BRANCH09DEBIT  ACH - INS PREM
"20230109 1957816 2,548 202,301,093,362",1/9/2023,1/9/2023,Debit,-25.48,,1450982999,Cafe Zupas,Restaurants & Dining,Point Of Sale Transactions,808.53,,Point Of Sale Withdrawal 984023612885 CAFE ZUPAS - MERIDIAN  MERIDIAN     IDUS
"20230109 1957816 1,160 202,301,093,361",1/9/2023,1/9/2023,Debit,-11.6,,1450983000,Panda Express,Restaurants & Dining,Point Of Sale Transactions,834.01,,Point Of Sale Withdrawal 34511665888 PANDA EXPRESS #2619    MERIDIAN     IDUS
"20230106 1957816 2,120 202,301,063,360",1/6/2023,1/6/2023,Debit,-21.2,,1450983001,Ulta Beauty,Personal Care & Fitness,Point Of Sale Transactions,845.61,,Point Of Sale Withdrawal 5600137995 ULTA #1269             MERIDIAN     IDUS
"20230105 1957816 4,254 202,301,053,359",1/5/2023,1/5/2023,Debit,-42.54,,1450983002,Walmart,Shopping,Point Of Sale Transactions,866.81,,Point Of Sale Withdrawal WAL-MART #5841 5001 N TEN MILE RD     MERIDIAN     IDUS
"20230103 1957816 1,100 202,301,033,358",1/3/2023,1/3/2023,Debit,-11,,1450983012,Transfer to Venmo,Transfers,Automated Withdrawal Transactions,909.35,,ACH Withdrawal VENMO  - PAYMENT
"20230103 1957816 3,721 202,301,033,357",1/3/2023,1/3/2023,Debit,-37.21,,1450983003,WinCo Foods,Groceries,Point Of Sale Transactions,920.35,,Point Of Sale Withdrawal 7682301670098 WINCO FOODS #167 1407 WMeridian     IDUS
"20230101 1957816 3,000 202,301,013,356",1/1/2023,1/1/2023,Debit,-30,,1450983004,Point Of Sale Withdrawal XX4886 DLR TICKET ADD ON XX-4669 CAUS,Entertainment,Point Of Sale Transactions,957.56,,Point Of Sale Withdrawal 372077444886 DLR TICKET ADD ON      714-781-4669 CAUS
"20230101 1957816 4,300 202,301,013,355",1/1/2023,1/1/2023,Debit,-43,,1450983005,Withdrawal #54446685# Transfer To *****3655,Transfers,Withdrawal Transactions,987.56,,Withdrawal #54446685# Transfer To *****3655
